mail;nom;prenom;telephone;mot_de_passe;administrateur;actif;campus
1@1.fr;nom1;prenom1;0;azerty;0;1;Niort
2@1.fr;nom2;prenom2;1;azerty;0;1;Nantes
3@1.fr;nom3;prenom3;2;azerty;0;1;Rennes
4@1.fr;nom4;prenom4;3;azerty;0;1;Niort
5@1.fr;nom5;prenom5;4;azerty;0;1;Nantes
6@1.fr;nom6;prenom6;5;azerty;0;1;Rennes
7@1.fr;nom7;prenom7;6;azerty;0;1;Niort
8@1.fr;nom8;prenom8;7;azerty;0;1;Nantes
9@1.fr;nom9;prenom9;8;azerty;0;1;Rennes
10@1.fr;nom10;prenom10;9;azerty;0;1;Niort
11@1.fr;nom11;prenom11;10;azerty;0;1;Nantes
12@1.fr;nom12;prenom12;11;azerty;0;1;Rennes
13@1.fr;nom13;prenom13;12;azerty;0;1;Niort
14@1.fr;nom14;prenom14;13;azerty;0;1;Nantes
15@1.fr;nom15;prenom15;14;azerty;0;1;Rennes
16@1.fr;nom16;prenom16;15;azerty;0;1;Niort
17@1.fr;nom17;prenom17;16;azerty;0;1;Nantes
18@1.fr;nom18;prenom18;17;azerty;0;1;Rennes
