mail;nom;prenom;telephone;mot_de_passe;administrateur;actif;campus
1@1.fr;nom1;prenom1;0;azerty;false;true;Niort
2@1.fr;nom2;prenom2;1;azerty;false;true;Nantes
3@1.fr;nom3;prenom3;2;azerty;false;true;Rennes
4@1.fr;nom4;prenom4;3;azerty;false;true;Niort
5@1.fr;nom5;prenom5;4;azerty;false;true;Nantes
6@1.fr;nom6;prenom6;5;azerty;false;true;Rennes
7@1.fr;nom7;prenom7;6;azerty;false;true;Niort
8@1.fr;nom8;prenom8;7;azerty;false;true;Nantes
9@1.fr;nom9;prenom9;8;azerty;false;true;Rennes
10@1.fr;nom10;prenom10;9;azerty;false;true;Niort
11@1.fr;nom11;prenom11;10;azerty;false;true;Nantes
12@1.fr;nom12;prenom12;11;azerty;false;true;Rennes
13@1.fr;nom13;prenom13;12;azerty;false;true;Niort
14@1.fr;nom14;prenom14;13;azerty;false;true;Nantes
15@1.fr;nom15;prenom15;14;azerty;false;true;Rennes
16@1.fr;nom16;prenom16;15;azerty;false;true;Niort
17@1.fr;nom17;prenom17;16;azerty;false;true;Nantes
18@1.fr;nom18;prenom18;17;azerty;false;true;Rennes
